Event Attendees,,,
Event,Visualization,,
Date & Time,"1:30pm - 3:30pm, Tuesday, February 11, 2020",,
Presenter,Esperanza,,
Location,Library,,
Campus,West,,
Seats,30,,
,,,
Booking,affiliated,Status,Discipline
"2:40pm Tuesday, December 11, 2018",Yes,Staff,Other / None
"9:25am Saturday, January 5, 2019",Yes,Faculty,Engineering (Pratt School of Engineering)
"2:00pm Wednesday, January 9, 2019",Yes,Faculty,Duke University Health System (DUHS)
"1:28pm Thursday, January 10, 2019",Yes,Graduate Student,Nicholas School of the Environment
"6:44pm Thursday, January 10, 2019",Yes,Graduate Student,Biology
"7:00pm Thursday, January 10, 2019",Yes,Staff,Nicholas School of the Environment
"8:19pm Thursday, January 10, 2019",Yes,Graduate Student,Sanford School of Public Policy
"1:39pm Monday, January 14, 2019",Yes,Staff,Duke University Health System (DUHS)
"11:39am Wednesday, January 16, 2019",Yes,Post Doc,Biology
"11:11am Thursday, January 17, 2019",Yes,Graduate Student,Nicholas School of the Environment
"2:09pm Wednesday, January 23, 2019",Yes,Graduate Student,Nicholas School of the Environment
"4:21pm Monday, January 28, 2019",Yes,Staff,Nicholas School of the Environment
"5:18pm Monday, January 28, 2019",Yes,Graduate Student,Biology
"1:35am Tuesday, January 29, 2019",Yes,Graduate Student,Nicholas School of the Environment
"9:58am Tuesday, January 29, 2019",Yes,Staff,Other / None
"1:09pm Tuesday, January 29, 2019",Yes,Staff,Biology
"4:02pm Tuesday, January 29, 2019",Yes,Post Doc,Psychology and Neuroscience
"10:03am Friday, February 1, 2019",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"5:03pm Friday, February 1, 2019",Yes,Staff,Biology
