Event Attendees,,,
Event,Rfun - Interactive Dashboards,,
Date & Time,"Tuesday, February 6, 2016",,
Presenter,Winslow,,
Location,Edge ,,
Campus, Campus,,
Seats,40,,
,,,
Booking,affiliated,Status,Discipline
"2:40pm Tuesday, December 11, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"9:25am Saturday, January 5, 2019",Yes,Graduate Student,Psychology and Neuroscience
"2:00pm Wednesday, January 9, 2019",Yes,Undergraduate,Sanford School of Public Policy
"1:28pm Thursday, January 10, 2019",Yes,Graduate Student,Psychology and Neuroscience
"6:44pm Thursday, January 10, 2019",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"7:00pm Thursday, January 10, 2019",Yes,Graduate Student,Other / None
"8:19pm Thursday, January 10, 2019",Yes,Graduate Student,Statistical Science
"1:39pm Monday, January 14, 2019",Yes,Graduate Student,Fuqua School of Business
"11:39am Wednesday, January 16, 2019",Yes,Staff,Sanford School of Public Policy
"11:11am Thursday, January 17, 2019",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"2:09pm Wednesday, January 23, 2019",Yes,Graduate Student,Political Science
"4:21pm Monday, January 28, 2019",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"5:18pm Monday, January 28, 2019",Yes,Graduate Student,Nicholas School of the Environment
"1:35am Tuesday, January 29, 2019",Yes,Graduate Student,Economics
"9:58am Tuesday, January 29, 2019",Yes,Staff,Other / None
"1:09pm Tuesday, January 29, 2019",No,Undergraduate,Statistical Science
"4:02pm Tuesday, January 29, 2019",No,Graduate Student,Sociology
"10:03am Friday, February 1, 2019",Yes,Staff,Other / None
"5:03pm Friday, February 1, 2019",Yes,Staff,School of Medicine
"10:27am Monday, February 4, 2019",Yes,Staff,School of Medicine
"11:14am Tuesday, February 5, 2019",Yes,Post Doc,Nicholas School of the Environment
"5:45pm Friday, February 15, 2019",No,Graduate Student,Sociology
