Event Attendees,,,
Event,Visualization,,
Date & Time,"Tuesday, September 23, 2017",,
Presenter,westbrook,,
Location,Training Room,,
Campus,West,,
Seats,30,,
,,,
Booking,affiliated,Status,Discipline
"3:17pm Monday, August 27, 2018",Yes,Other,Psychology and Neuroscience
"9:24pm Monday, August 27, 2018",No,Post Doc,Psychology and Neuroscience
"11:45pm Monday, August 27, 2018",Yes,Graduate Student,Sanford School of Public Policy
"3:01pm Tuesday, August 28, 2018",Yes,Graduate Student,Nicholas School of the Environment
"3:46pm Tuesday, August 28, 2018",Yes,Staff,School of Medicine
"10:35am Wednesday, August 29, 2018",Yes,Graduate Student,Statistical Science
"3:16pm Thursday, August 30, 2018",Yes,Graduate Student,School of Medicine
"3:51pm Thursday, August 30, 2018",Yes,Post Doc,Evolutionary Anthropology
"5:13pm Thursday, August 30, 2018",Yes,Graduate Student,Asian and Middle Eastern Studies
"8:18pm Thursday, August 30, 2018",Yes,Staff,Sanford School of Public Policy
"1:50am Friday, August 31, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"4:14pm Friday, August 31, 2018",Yes,Graduate Student,Nicholas School of the Environment
"9:54am Sunday, September 2, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"4:16pm Sunday, September 2, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"4:22pm Sunday, September 2, 2018",Yes,Graduate Student,Other / None
"3:13pm Tuesday, September 4, 2018",Yes,Undergraduate,Biology
"3:43pm Tuesday, September 4, 2018",Yes,Post Doc,Biology
"10:49am Thursday, September 6, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"10:19pm Saturday, September 8, 2018",Yes,Graduate Student,School of Medicine
"10:59am Monday, September 10, 2018",Yes,Staff,Nicholas School of the Environment
"1:20pm Monday, September 10, 2018",Yes,Graduate Student,Nicholas School of the Environment
"11:08am Tuesday, September 11, 2018",Yes,Undergraduate,Engineering (Pratt School of Engineering)
"9:16am Wednesday, September 12, 2018",Yes,Graduate Student,Nicholas School of the Environment
"5:07pm Wednesday, September 12, 2018",Yes,Graduate Student,Psychology and Neuroscience
"10:19pm Wednesday, September 12, 2018",Yes,Faculty,Biology
"7:22am Thursday, September 13, 2018",Yes,Graduate Student,Sanford School of Public Policy
